Creating model...
2025-11-13 02:22:52 - feat_dataset.py - [32mINFO[0m : [32mSelected slice encoder models: ['dinov2', 'rad-dino', 'medsiglip', 'biomedclip', 'ark'][0m
2025-11-13 02:22:52 - feat_dataset.py - [32mINFO[0m : [32mSelected view planes: ['sagittal'][0m
/rwthfs/rz/cluster/home/qj474765/master_thesis/MedSliM/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(                     
MedSliM Pre-training...:   6%|▌         | 29/500 [01:20<13:36,  1.73s/it] 
batch_size_per_device=128
                                             
Epoch 113; loss: 1.6273; lr: 0.00024
Epoch 114; loss: 1.6209; lr: 0.00024
Epoch 115; loss: 1.6027; lr: 0.00024
Epoch 116; loss: 1.6163; lr: 0.00024
Epoch 117; loss: 1.5880; lr: 0.00024
Epoch 118; loss: 1.5610; lr: 0.00024
Epoch 119; loss: 1.5704; lr: 0.00024
Epoch 120; loss: 1.5936; lr: 0.00024
Epoch 121; loss: 1.5742; lr: 0.00024
Epoch 122; loss: 1.5530; lr: 0.00023
Epoch 123; loss: 1.5406; lr: 0.00023
Epoch 124; loss: 1.5421; lr: 0.00023
Epoch 125; loss: 1.5511; lr: 0.00023
Epoch 126; loss: 1.5424; lr: 0.00023
Epoch 127; loss: 1.5368; lr: 0.00023
Epoch 128; loss: 1.5275; lr: 0.00023
Epoch 129; loss: 1.5159; lr: 0.00023
Epoch 130; loss: 1.5335; lr: 0.00023
Epoch 131; loss: 1.5210; lr: 0.00023
Epoch 132; loss: 1.5016; lr: 0.00023
Epoch 133; loss: 1.4951; lr: 0.00023
Epoch 134; loss: 1.4790; lr: 0.00023
Epoch 135; loss: 1.4968; lr: 0.00023
Epoch 136; loss: 1.4834; lr: 0.00023
Epoch 137; loss: 1.4829; lr: 0.00023
Epoch 138; loss: 1.4931; lr: 0.00023
Epoch 139; loss: 1.4760; lr: 0.00023
Epoch 140; loss: 1.4664; lr: 0.00023
Epoch 141; loss: 1.4612; lr: 0.00023
Epoch 142; loss: 1.4574; lr: 0.00023
